Month,Sum of Daily Return,Ticker
May,-0.0164317873878116,ICICIBANK
May,-0.013368188395635767,INDUSINDBK
May,0.007092643177888958,INFY
May,0.021436931774986213,ITC
May,-0.02342781664053789,JSWSTEEL
May,-0.08447339958215996,KOTAKBANK
May,-0.07370185212161232,LT
May,-0.18135394959829418,M&M
May,0.027831832105755076,MARUTI
May,0.06659568581618559,NESTLEIND
May,-0.0538762529472055,NTPC
May,0.0009814382284654977,ONGC
May,-0.06688068600486147,POWERGRID
May,-0.026681269782488058,RELIANCE
May,0.05051856514150953,SBILIFE
May,-0.08230974913887727,SBIN
May,0.03355321832472856,SHRIRAMFIN
May,0.04567363690976599,SUNPHARMA
May,0.02229711699017694,TATACONSUM
May,0.08434387870418533,TATAMOTORS
May,-0.03600234099543695,TATASTEEL
May,0.043873945457475465,TCS
May,0.01938907077701493,TECHM
May,0.09432245771641673,TITAN
May,-0.0016072890248778685,TRENT
May,-0.044692315472187466,ULTRACEMCO
May,0.030972401007504195,WIPRO
June,0.16258250339723876,ADANIENT
June,0.10640833945773095,ADANIPORTS
June,-0.047391232570130254,APOLLOHOSP
June,-0.01992674917716586,ASIANPAINT
June,-0.024661896488881854,AXISBANK
June,-0.019275047478227086,BAJAJ-AUTO
June,0.00027892209834925064,BAJAJFINSV
June,-0.04628574035424872,BAJFINANCE
June,0.06581947490419682,BEL
June,-0.038807697657964546,BHARTIARTL
June,0.10146741122559622,BPCL
June,-0.056637622859843494,BRITANNIA
June,-0.016848034471340628,CIPLA
June,0.08981582193114301,COALINDIA
June,-0.09237877979633462,DRREDDY
June,0.010030797034519506,EICHERMOT
June,-0.1370544828940953,GRASIM
June,-0.10927009177012723,HCLTECH
June,-0.07739076361661267,HDFCBANK
June,-0.08580327568706428,HDFCLIFE
June,-0.07831670394147289,HEROMOTOCO
June,0.014990213262746868,HINDALCO
June,-0.058006473353859056,HINDUNILVR
June,-0.03877412012064226,ICICIBANK
June,0.05719603772263534,INDUSINDBK
June,-0.12112686298248121,INFY
June,0.004701249321583285,ITC
June,-0.024982168532298274,JSWSTEEL
June,-0.048003675066571355,KOTAKBANK
June,0.11097300714353109,LT
June,-0.08188070247419775,M&M
June,0.031541612031340205,MARUTI
June,-0.08484248238369389,NESTLEIND
June,0.07541680022716701,NTPC
June,0.061854157856066,ONGC
June,0.03539304225585585,POWERGRID
June,-0.027279818792448743,RELIANCE
June,-0.07336095954266757,SBILIFE
June,0.0868871858054603,SBIN
June,-0.14223967853291494,SHRIRAMFIN
June,-0.04325884239487643,SUNPHARMA
June,-0.02138423510807371,TATACONSUM
June,-0.04977476153292974,TATAMOTORS
June,0.008849526304433131,TATASTEEL
June,-0.07063076082586818,TCS
June,-0.16379372494855818,TECHM
June,-0.0484094794827822,TITAN
June,-0.16223904328364255,TRENT
June,-0.12300042514960953,ULTRACEMCO
June,-0.16811880442945015,WIPRO
July,-0.00872021308479354,ADANIENT
